Code,State,January,Feburary,March,April,May,June,July
AL,Alabama,0,0,23,272,630,950,1491
AK,Alaska,0,0,3,9,10,14,21
AZ,Arizona,0,0,25,320,907,1645,3304
AR,Arkansas,0,0,8,61,133,270,408
CA,California,0,0,173,2031,4172,6082,8494
CO,Colorado,0,0,69,777,1445,1690,1799
CT,Connecticut,0,0,69,2257,3944,4322,4418
DE,Delaware,0,0,10,152,366,509,579
DC,District of Columbia,0,0,9,224,466,551,581
FL,Florida,0,0,85,1268,2451,3505,5931
GA,Georgia,0,0,111,1132,2053,2805,3509
HI,Hawaii,0,0,0,16,17,18,26
ID,Idaho,0,0,8,60,82,92,152
IL,Illinois,0,0,99,2355,5390,6923,7608
IN,Indiana,0,0,49,1114,2134,2640,2906
IA,Iowa,0,0,7,162,535,716,836
KS,Kansas,0,0,9,134,215,273,333
KY,Kentucky,0,0,11,240,431,565,709
LA,Louisiana,0,0,239,1905,2791,3221,3786
ME,Maine,0,0,5,53,89,105,119
MD,Maryland,0,0,18,1140,2532,3190,3447
MA,Massachusetts,0,0,89,3562,6846,8054,8536
MI,Michigan,0,0,292,3991,5731,6193,6405
MN,Minnesota,0,0,12,343,1050,1476,1616
MS,Mississippi,0,0,20,261,734,1073,1498
MO,Missouri,0,0,19,443,814,1019,1221
MT,Montana,0,0,5,16,17,22,47
NE,Nebraska,0,0,3,70,170,274,317
NV,Nevada,0,0,26,243,417,507,739
NH,New Hampshire,0,0,3,72,245,371,409
NJ,New Jersey,0,0,267,7228,11698,15035,15804
NM,New Mexico,0,0,4,123,356,497,619
NY,New York,0,0,3244,24552,30489,32032,32645
NC,North Carolina,0,0,12,406,937,1380,1838
ND,North Dakota,0,0,3,19,61,79,99
OH,Ohio,0,0,55,976,2155,2863,3344
OK,Oklahoma,0,0,23,222,334,387,496
OR,Oregon,0,0,18,103,153,207,289
PA,Pennsylvania,0,0,63,2475,5555,6649,7131
RI,Rhode Island,0,0,8,266,718,950,1004
SC,South Carolina,0,0,22,244,494,739,1506
SD,South Dakota,0,0,1,17,62,91,123
TN,Tennessee,0,0,23,199,364,604,978
TX,Texas,0,0,54,812,1675,2455,5713
UT,Utah,0,0,5,46,113,172,281
VT,Vermont,0,0,13,49,55,56,56
VA,Virginia,0,0,27,552,1375,1763,2082
WA,Washington,0,1,225,814,1118,1332,1518
WV,West Virginia,0,0,1,41,75,93,104
WI,Wisconsin,0,0,25,316,592,784,893
WY,Wyoming,0,0,0,7,16,20,25
