date,Ratio
1/22/2020,0
1/23/2020,0
1/24/2020,0
1/25/2020,0
1/26/2020,0
1/27/2020,0
1/28/2020,0
1/29/2020,0
1/30/2020,0
1/31/2020,0
2/1/2020,0
2/2/2020,0
2/3/2020,0
2/4/2020,0
2/5/2020,0
2/6/2020,0
2/7/2020,0
2/8/2020,0
2/9/2020,0
2/10/2020,0
2/11/2020,0
2/12/2020,0
2/13/2020,0
2/14/2020,0
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,0
2/26/2020,0
2/27/2020,0
2/28/2020,0
2/29/2020,4.1666667
3/1/2020,3.3333333
3/2/2020,11.3207547
3/3/2020,9.5890411
3/4/2020,10.5769231
3/5/2020,6.8965517
3/6/2020,6.3063063
3/7/2020,5.0445104
3/8/2020,4.6563193
3/9/2020,4.238921
3/10/2020,3.9381153
3/11/2020,2.9756537
3/12/2020,2.7546445
3/13/2020,2.4107557
3/14/2020,2.0209059
3/15/2020,2.3584906
3/16/2020,2.2247706
3/17/2020,2.1332031
3/18/2020,2.1083324
3/19/2020,1.8718655
3/20/2020,1.8584116
3/21/2020,1.7657309
3/22/2020,1.7801605
3/23/2020,1.7879133
3/24/2020,1.8868273
3/25/2020,2.0180153
3/26/2020,2.0763221
3/27/2020,2.2488169
3/28/2020,2.4035586
3/29/2020,2.5218654
3/30/2020,2.6925701
3/31/2020,2.9699455
4/1/2020,3.1960038
4/2/2020,3.4471199
4/3/2020,3.5245365
4/4/2020,3.5618455
4/5/2020,3.6940158
4/6/2020,3.8500606
4/7/2020,4.1324951
4/8/2020,4.3201314
4/9/2020,4.4436119
4/10/2020,4.5649803
4/11/2020,4.6928892
4/12/2020,4.7703415
4/13/2020,4.8771684
4/14/2020,5.0551999
4/15/2020,5.2241941
4/16/2020,5.2956048
4/17/2020,5.4211135
4/18/2020,5.5374437
4/19/2020,5.5093042
4/20/2020,5.5461417
4/21/2020,5.6742838
4/22/2020,5.7691343
4/23/2020,5.8223968
4/24/2020,5.8229468
4/25/2020,5.7945705
4/26/2020,5.7624123
4/27/2020,5.7755784
4/28/2020,5.8545491
4/29/2020,5.9403397
4/30/2020,5.9903027
5/1/2020,5.9742743
5/2/2020,5.9577086
5/3/2020,5.9208289
5/4/2020,5.9189957
5/5/2020,5.9914539
5/6/2020,6.0680472
5/7/2020,6.0860514
5/8/2020,6.0917113
5/9/2020,6.0849717
5/10/2020,6.0607128
5/11/2020,6.0510199
5/12/2020,6.0708198
5/13/2020,6.1051063
5/14/2020,6.111284
5/15/2020,6.1192096
5/16/2020,6.0979779
5/17/2020,6.0707292
5/18/2020,6.0343217
5/19/2020,6.0549712
5/20/2020,6.0630841
5/21/2020,6.0432486
5/22/2020,6.0314437
5/23/2020,6.0194692
5/24/2020,5.9804189
5/25/2020,5.9431353
5/26/2020,5.9172501
5/27/2020,5.9422705
5/28/2020,5.9322298
5/29/2020,5.9158383
5/30/2020,5.8890049
5/31/2020,5.8564057
6/1/2020,5.8429522
6/2/2020,5.8327265
6/3/2020,5.8233531
6/4/2020,5.8108792
6/5/2020,5.7848414
6/6/2020,5.7518819
6/7/2020,5.7226248
6/8/2020,5.6975662
6/9/2020,5.6928793
6/10/2020,5.6795451
6/11/2020,5.6586693
6/12/2020,5.628833
6/13/2020,5.5956447
6/14/2020,5.5569084
6/15/2020,5.5237258
6/16/2020,5.5017212
6/17/2020,5.4714347
6/18/2020,5.4341223
6/19/2020,5.3873901
6/20/2020,5.3362083
6/21/2020,5.2855528
6/22/2020,5.2333107
6/23/2020,5.1905204
6/24/2020,5.1461829
6/25/2020,5.1614602
6/26/2020,5.0913172
6/27/2020,5.0241828
6/28/2020,4.9555976
6/29/2020,4.8910551
6/30/2020,4.8335352
7/1/2020,4.7665416
7/2/2020,4.6973267
7/3/2020,4.6306005
7/4/2020,4.5645195
7/5/2020,4.4951375
7/6/2020,4.4373836
7/7/2020,4.3883745
7/8/2020,4.3310323
7/9/2020,4.2749297
7/10/2020,4.2094184
7/11/2020,4.1521908
7/12/2020,4.0909946
7/13/2020,4.0297168
7/14/2020,3.9767757
7/15/2020,3.9273749
7/16/2020,3.8689017
7/17/2020,3.817897
7/18/2020,3.7753546
7/19/2020,3.7244717
7/20/2020,3.677624
7/21/2020,3.6448656
7/22/2020,3.6098648
7/23/2020,3.576048
7/24/2020,3.5394262
7/25/2020,3.504811
7/26/2020,3.4704221
7/27/2020,3.4499316
