Country,Confirmed,Death
Afghanistan,36263,1269
Albania,4880,144
Algeria,27973,1163
Andorra,907,52
Angola,950,41
Antigua and Barbuda,86,3
Argentina,167416,3059
Armenia,37390,711
Australia,15303,167
Austria,20558,713
Azerbaijan,30446,423
Bahamas,382,11
Bahrain,39482,141
Bangladesh,226225,2965
Barbados,110,7
Belarus,67251,538
Belgium,66428,9822
Belize,48,2
Benin,1770,35
Bhutan,99,0
Bolivia,71181,2647
Bosnia and Herzegovina,10498,294
Botswana,739,2
Brazil,2442375,87618
Brunei,141,3
Bulgaria,10621,347
Burkina Faso,1100,53
Burma,350,6
Burundi,378,1
Cabo Verde,2328,22
Cambodia,226,0
Cameroon,17110,391
Canada,116471,8945
Central African Republic,4599,59
Chad,922,75
Chile,347923,9187
China,86783,4656
Colombia,257101,8777
Comoros,354,7
Congo (Brazzaville),3200,54
Congo (Kinshasa),8844,208
Costa Rica,15841,115
Cote d'Ivoire,15655,96
Croatia,4881,139
Cuba,2532,87
Cyprus,1060,19
Czechia,15516,373
Denmark,13775,613
Diamond Princess,712,13
Djibouti,5059,58
Dominica,18,0
Dominican Republic,64156,1083
Ecuador,81161,5532
Egypt,92482,4652
El Salvador,15035,408
Equatorial Guinea,3071,51
Eritrea,265,0
Estonia,2034,69
Eswatini,2316,34
Ethiopia,14547,228
Fiji,27,0
Finland,7398,329
France,220352,30212
Gabon,7189,49
Gambia,326,8
Georgia,1137,16
Germany,207112,9125
Ghana,33624,168
Greece,4227,202
Grenada,23,0
Guatemala,45309,1761
Guinea,7055,45
Guinea-Bissau,1954,26
Guyana,389,20
Haiti,7340,158
Holy See,12,0
Honduras,39741,1166
Hungary,4448,596
Iceland,1854,10
India,1480073,33408
Indonesia,100303,4838
Iran,293606,15912
Iraq,112585,4458
Ireland,25892,1764
Israel,63985,474
Italy,246286,35112
Jamaica,853,10
Japan,31142,998
Jordan,1176,11
Kazakhstan,84648,585
Kenya,17975,285
"Korea, South",14203,300
Kosovo,7413,185
Kuwait,64379,438
Kyrgyzstan,33296,1301
Laos,20,0
Latvia,1219,31
Lebanon,3882,51
Lesotho,505,12
Liberia,1167,72
Libya,2827,64
Liechtenstein,86,1
Lithuania,2019,80
Luxembourg,6321,112
Madagascar,9690,91
Malawi,3664,99
Malaysia,8904,124
Maldives,3369,15
Mali,2513,124
Malta,701,9
Mauritania,6208,156
Mauritius,344,10
Mexico,395489,44022
Moldova,23154,748
Monaco,116,4
Mongolia,289,0
Montenegro,2893,45
Morocco,20887,316
Mozambique,1701,11
MS Zaandam,9,2
Namibia,1843,8
Nepal,18752,48
Netherlands,53424,6160
New Zealand,1557,22
Nicaragua,3439,108
Niger,1132,69
Nigeria,41180,860
North Macedonia,10213,466
Norway,9132,255
Oman,77058,393
Pakistan,274289,5842
Panama,61442,1322
Papua New Guinea,62,0
Paraguay,4548,43
Peru,389717,18418
Philippines,82040,1945
Poland,43402,1676
Portugal,50299,1719
Qatar,109597,165
Romania,45902,2206
Russia,816680,13334
Rwanda,1879,5
Saint Kitts and Nevis,17,0
Saint Lucia,24,0
Saint Vincent and the Grenadines,52,0
San Marino,699,42
Sao Tome and Principe,865,14
Saudi Arabia,268934,2760
Senegal,9764,194
Serbia,24141,543
Seychelles,114,0
Sierra Leone,1783,66
Singapore,50838,27
Slovakia,2181,28
Slovenia,2087,116
Somalia,3196,93
South Africa,452529,7067
South Sudan,2305,46
Spain,272421,28432
Sri Lanka,2805,11
Sudan,11424,720
Suriname,1483,24
Sweden,79395,5700
Switzerland,34477,1978
Syria,674,40
Taiwan*,462,7
Tajikistan,7235,60
Tanzania,509,21
Thailand,3297,58
Timor-Leste,24,0
Togo,874,18
Trinidad and Tobago,148,8
Tunisia,1455,50
Turkey,227019,5630
Uganda,1128,2
Ukraine,67096,1636
United Arab Emirates,59177,345
United Kingdom,301708,45844
Uruguay,1202,35
US,4290259,148011
Uzbekistan,21209,121
Venezuela,15988,146
Vietnam,431,0
West Bank and Gaza,10621,78
Western Sahara,10,1
Yemen,1691,483
Zambia,4552,140
Zimbabwe,2704,36
